date,year,quarter,month,month_name,day
2014-01-21,2014,1,1,January,21
2014-03-02,2014,1,3,March,2
2014-03-28,2014,1,3,March,28
2014-04-03,2014,2,4,April,3
2014-04-05,2014,2,4,April,5
2014-04-12,2014,2,4,April,12
2014-04-26,2014,2,4,April,26
2014-05-13,2014,2,5,May,13
2014-06-09,2014,2,6,June,9
2014-06-12,2014,2,6,June,12
2014-06-17,2014,2,6,June,17
2014-07-11,2014,3,7,July,11
2014-08-12,2014,3,8,August,12
2014-08-25,2014,3,8,August,25
2014-08-27,2014,3,8,August,27
2014-09-20,2014,3,9,September,20
2014-09-26,2014,3,9,September,26
2014-10-12,2014,4,10,October,12
2014-10-20,2014,4,10,October,20
2014-11-01,2014,4,11,November,1
2014-11-11,2014,4,11,November,11
2014-11-24,2014,4,11,November,24
2014-11-26,2014,4,11,November,26
2014-12-05,2014,4,12,December,5
2014-12-26,2014,4,12,December,26
2014-12-28,2014,4,12,December,28
2015-01-31,2015,1,1,January,31
2015-03-02,2015,1,3,March,2
2015-03-19,2015,1,3,March,19
2015-03-20,2015,1,3,March,20
2015-03-26,2015,1,3,March,26
2015-04-05,2015,2,4,April,5
2015-04-18,2015,2,4,April,18
2015-04-30,2015,2,4,April,30
2015-05-17,2015,2,5,May,17
2015-05-29,2015,2,5,May,29
2015-06-28,2015,2,6,June,28
2015-07-26,2015,3,7,July,26
2015-08-08,2015,3,8,August,8
2015-09-03,2015,3,9,September,3
2015-09-06,2015,3,9,September,6
2015-09-13,2015,3,9,September,13
2015-09-17,2015,3,9,September,17
2015-09-24,2015,3,9,September,24
2015-09-25,2015,3,9,September,25
2015-10-10,2015,4,10,October,10
2015-10-11,2015,4,10,October,11
2015-10-15,2015,4,10,October,15
2015-11-13,2015,4,11,November,13
2015-11-22,2015,4,11,November,22
2015-11-24,2015,4,11,November,24
2015-12-14,2015,4,12,December,14
2015-12-27,2015,4,12,December,27
2015-12-29,2015,4,12,December,29
2016-01-16,2016,1,1,January,16
2016-03-11,2016,1,3,March,11
2016-03-15,2016,1,3,March,15
2016-04-05,2016,2,4,April,5
2016-04-07,2016,2,4,April,7
2016-06-03,2016,2,6,June,3
2016-06-04,2016,2,6,June,4
2016-06-06,2016,2,6,June,6
2016-06-12,2016,2,6,June,12
2016-06-17,2016,2,6,June,17
2016-06-20,2016,2,6,June,20
2016-07-17,2016,3,7,July,17
2016-07-25,2016,3,7,July,25
2016-08-21,2016,3,8,August,21
2016-08-29,2016,3,8,August,29
2016-09-04,2016,3,9,September,4
2016-09-06,2016,3,9,September,6
2016-09-11,2016,3,9,September,11
2016-09-17,2016,3,9,September,17
2016-09-18,2016,3,9,September,18
2016-09-22,2016,3,9,September,22
2016-09-29,2016,3,9,September,29
2016-11-03,2016,4,11,November,3
2016-11-06,2016,4,11,November,6
2016-12-01,2016,4,12,December,1
2016-12-05,2016,4,12,December,5
2016-12-06,2016,4,12,December,6
2016-12-08,2016,4,12,December,8
2016-12-09,2016,4,12,December,9
2016-12-10,2016,4,12,December,10
2016-12-11,2016,4,12,December,11
2016-12-12,2016,4,12,December,12
2017-01-14,2017,1,1,January,14
2017-01-29,2017,1,1,January,29
2017-02-26,2017,1,2,February,26
2017-03-19,2017,1,3,March,19
2017-04-15,2017,2,4,April,15
2017-04-20,2017,2,4,April,20
2017-05-04,2017,2,5,May,4
2017-05-06,2017,2,5,May,6
2017-05-28,2017,2,5,May,28
2017-06-01,2017,2,6,June,1
2017-06-08,2017,2,6,June,8
2017-06-17,2017,2,6,June,17
2017-06-24,2017,2,6,June,24
2017-07-16,2017,3,7,July,16
2017-08-03,2017,3,8,August,3
2017-08-21,2017,3,8,August,21
2017-09-10,2017,3,9,September,10
2017-09-14,2017,3,9,September,14
2017-09-16,2017,3,9,September,16
2017-09-19,2017,3,9,September,19
2017-10-06,2017,4,10,October,6
2017-10-12,2017,4,10,October,12
2017-10-19,2017,4,10,October,19
2017-10-26,2017,4,10,October,26
2017-11-05,2017,4,11,November,5
2017-11-06,2017,4,11,November,6
2017-11-09,2017,4,11,November,9
2017-11-13,2017,4,11,November,13
2017-11-17,2017,4,11,November,17
2017-11-23,2017,4,11,November,23
2017-11-24,2017,4,11,November,24
2017-12-09,2017,4,12,December,9
2017-12-11,2017,4,12,December,11
2017-12-25,2017,4,12,December,25